Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LiOnChargerShield.PrjPcb|ReportField=ProjectFullPath~C:\Users\davidtrc\Desktop\TFG GLOBAL\cargador_baterias_shield\LiOnChargerShield\LiOnChargerShield.PrjPcb|ReportField=Title~Bill of Materials For Project [LiOnChargerShield.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~17|ReportField=ReportTime~18:12:34|ReportField=ReportDate~01/06/2016|ReportField=ReportDateTime~01/06/2016 18:12:34|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~01/06/2016|ReportField=CurrentTime~17:12:10|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\davidtrc\Desktop\TFG GLOBAL\cargador_baterias_shield\LiOnChargerShield\LiOnChargerShield.SchDoc|ReportField=DocumentName~LiOnChargerShield.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~01/06/2016|ReportField=Organization~|ReportField=ProjectName~LiOnChargerShield.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~LiOnChargerShield.PrjPcb|ReportField=DataSourceFullPath~C:\Users\davidtrc\Desktop\TFG GLOBAL\cargador_baterias_shield\LiOnChargerShield\LiOnChargerShield.PrjPcb
Conector ED-1631|Terminal Block 2 vías, 5mm|5v_ext|Conector ED-1631|Conector ED-1631|1
Cap||C1, C2|0603 Cap|Cap|2
header||hd40|header_cognitiveNGD|header_cognitiveNGD|1
LED||LD_CHARGING|0603 LED-Green|LED|1
LED||LD_FINISHED|0603 LED-BLUE|LED|1
LED||LD_VCC|0603 LED-RED|LED|1
Stand-Alone Linear Li-Ion / Li-Polymer Charge  Management Controller||MCP73833|MCP73833/4|MCP73833|1
Res||R1, R3, R4, R5, R9, RX|0603 Res|Res|6
221||R2|0603 Res|Res|1
Res||R6|0805 Res|Res|1
Si4823DY||Si4823DY|Si4823DY|Si4823DY|1
